Property_title,Address,Price,Area
Semi Furnished 3BHK Apartment for Sale in Sector 150,Ace Golfshire|Sector-150,1.26 Cr,Carpet Area              1550 sq.ft                     @ 8129 /-                
Semi Furnished 3BHK Apartment for Sale in Sector 150,ATS Pious Hideaways|Sector-150,63 L,Carpet Area              870 sq.ft                     @ 7241 /-                
Plot for Sale in Sector 143A,Sector-143 A,18 L,Plot Area              1350 sq.ft                     @ 1333 /-                
Plot for Sale in Sector 145,Sector-145,3.50 L,Plot Area              450 sq.ft                     @ 778 /-                
3BHK Apartment for Sale in Sector 150,ATS Pious Hideaways|Sector-150,75.37 L,Carpet Area              1020 sq.ft                     @ 7390 /-                
Plot for Sale in Sector 150,RCM Green City|Sector-150,3.50 L,Plot Area              900 sq.ft                     @ 389 /-                
Semi Furnished 3BHK Apartment for Sale in Sector 100,The 3C Lotus Boulevard|Sector-100,1.06 Cr,Carpet Area              1100 sq.ft                     @ 9720 /-                
Plot for Sale in Sector 150,RCM Green City|Sector-150,3 L,Plot Area              900 sq.ft                     @ 333 /-                
Plot for sale in Sector 115,Sector-115,7 L,Plot Area              450 sq.ft                     @ 1556 /-                
Plot for Sale in Sector 150,RCM Green City|Sector-150,1.50 L,Plot Area              450 sq.ft                     @ 333 /-                
Semi Furnished 1BHK BuilderFloor for Sale in Noida-Greater Noida Expressway,Noida Greater Noida Expressway,10.48 L,Carpet Area              175 sq.ft                     @ 5990 /-                
2BHK Apartment for Sale in Sector 143b,Akriti Shantiniketan|Sector-143 B,62.77 L,Carpet Area              990 sq.ft                     @ 6341 /-                
3BHK Apartment for Sale in Sector 143b,Akriti Shantiniketan|Sector-143 B,99.97 L,Carpet Area              1780 sq.ft                     @ 5617 /-                
1RK BuilderFloor for Sale in Noida-Greater Noida Expressway,Noida Greater Noida Expressway,10.48 L,Carpet Area              97 sq.ft                     @ 10809 /-                
3BHK Apartment for Sale in Sector-137,Gulshan Vivante|Sector-137,71 L,Carpet Area              1100 sq.ft                     @ 6455 /-                
4BHK Apartment for Sale in Sector 93a,Supertech Emerald Court Emperor|Sector-93 A,1.23 Cr,Carpet Area              1930 sq.ft                     @ 6373 /-                
3BHK Apartment for Sale in Sector 93a,Supertech Emerald Court Emperor|Sector-93 A,84.50 L,Carpet Area              1430 sq.ft                     @ 5909 /-                
3BHK Apartment for Sale in Sector 93,Supertech Emerald Court Bluestone|Sector-93,1.09 Cr,Carpet Area              1790 sq.ft                     @ 6140 /-                
Semi Furnished 3BHK Apartment for Sale in Sector-70,Pan Oasis|Sector-70,82 L,Carpet Area              872 sq.ft                     @ 9404 /-                
4BHK Apartment for Sale in Sector 143b,Akriti Shantiniketan|Sector-143 B,1.28 Cr,Carpet Area              2160 sq.ft                     @ 5968 /-                
1RK Apartment for Sale in Sector-75,Blue Square Spectrum @ Metro|Sector-75,34 L,Carpet Area              325 sq.ft                     @ 10462 /-                
2BHK Apartment for Sale in Sector 150,Eldeco Live Greens|Sector-150,53.59 L,Carpet Area              680 sq.ft                     @ 7881 /-                
Semi Furnished 3BHK Apartment for Sale in Sector 120,Sector-120,65 L,Carpet Area              1052 sq.ft                     @ 6179 /-                
Semi Furnished 3BHK Apartment for Sale in Sector 150,Ace Golfshire|Sector-150,99 L,Carpet Area              1206 sq.ft                     @ 8209 /-                
3BHK Apartment for Sale in Sector-74,Ajnara Grand Heritage|Sector-74,82 L,Carpet Area              1060 sq.ft                     @ 7736 /-                
2BHK Apartment for Sale in Noida-Greater Noida Expressway,Noida Greater Noida Expressway,42 L,Carpet Area              791 sq.ft                     @ 5310 /-                
Semi Furnished 2BHK Apartment for Sale in Sector-77,Civitech Sampriti|Sector-77,65 L,Carpet Area              950 sq.ft                     @ 6842 /-                
Semi Furnished 3BHK Apartment for Sale in Sector-75,Dasnac The Jewel Of Noida|Sector-75,1.25 Cr,Carpet Area              1520 sq.ft                     @ 8224 /-                
3BHK Apartment for Sale in Sector-79,Civitech Stadia|Sector-79,84 L,Carpet Area              1495 sq.ft                     @ 5619 /-                
Semi Furnished 4BHK Apartment for Sale in Sector 150,Antriksh The Golf Address|Sector-150,1.28 Cr,Carpet Area              2100 sq.ft                     @ 6095 /-                
Semi Furnished 3BHK Apartment for Sale in Sector 150,Antriksh The Golf Address|Sector-150,59.78 L,Carpet Area              1000 sq.ft                     @ 5978 /-                
